BGRF_ID	Title	Author	Author1	Author2	Author3	Author4
00.1	Adèle de Montmorency ou la belle émigrée
00.10	Camille et Agathe ou l’amour vainqueur de la mort
90.23	L’isle des philosophes et plusieurs autres nouvellement découvertes & remarquables par leurs rapports avec la France actuelle	BALTHAZARD, abbé
90.24	Mémoires secrets de M^e. de Tencin, ses tendres liaisons avec Ganganelli ou l’heureuse découverte littéraire, pour servir de suite aux ouvrages de cette femme estimable, par M. l’abbé ***, de Grenoble	BARTHÉLEMY, abbé Louis
90.25	Narrations d’Omaï, insulaire de la Mer du Sud, ami et compagnon de voyage du capitaine Cook, ouvrage traduit de l’o-taïtien par M. K***k, publié par le capitaine L.A.B.	BASTON, abbé Guillaume-André-René
90.27	Bibliothèque des villages, par M. Berquin	BERQUIN, Arnaud
90.28	Cyane, roman grec, par le baron de Bilderbeck	BILDERBECK, baron Ludwig Benedict Franz von
90.31	Démétrius ou l’éducation d’un prince, ouvrage en vingt livres par M. Chambert, avocat au parlement	CHAMBERT, Pierre
90.33	Les délassemens d’un paresseux, par un C.R.D’E.A.C.D.L., membre de plusieurs académies et de la Société anacréon-tique des Rosati d’Arras	DUMARQUET, abbé Louis-Joseph
90.34	La retraite, les tentations et les confessions de madame la marquise de Montcornillon, histoire morale, dans laquelle on voit comment une jeune veuve devient malheureuse par les conseils de son confesseur; & comment pour la délivrer de ses malheurs, un jeune colonel de hussards se fit hermite & prophète, ouvrage posthume de feu M. de S. Leu, colonel au service de Pologne	DUVERNET, abbé Théophile-Imarigeon
90.36	Les nymphes de Dyctyme ou révolution de l’empire virginal, par M. Fournier de Tony, secrétaire du Roi en la grande chancellerie	FOURNIER DE TONY
90.38	Sophie ou mémoires d’une jeune religieuse, écrits par elle-même, adressés à la princesse de L***, & publiés par madame G.......	GAUTIER-LACÉPÈDE, madame
90.40	Lidorie, ancienne chronique allusive publiée par l’auteur de Blançay	GORJY, Jean-Claude
90.41	Saint-Alme, par l’auteur de Blançay, etc.	GORJY, Jean-Claude
90.43	Réponses à démêler ou essai d’une manière d’exercer l’attention. On y a joint divers morceaux qui ont pour but d’instruire ou d’amuser les jeunes personnes, par madame de La Fite	LAFITE, Marie-Elisabeth Bouée, madame de
90.44	Les Bohémiens	LAFITE DE PELLEPORT, Anne-Gédéon
90.45	Seconde lettre à M. Cérutti sur les prétendus prodiges & faux miracles, employés dans tous les tems, pour abuser & subjuguer les peuples, avec nombre d’exemples de ces pieuses fraudes, non moins amusantes qu’instructives, par l’auteur ou l’éditeur de Pièces intéressantes & peu connues	LA PLACE, Pierre-Antoine de
90.46	Le Gil-Blas françois ou aventures de Henri Lançon, écrites par lui-même	LEMAIRE
90.47	La fin des amours du chevalier de Faublas, par M. Louvet de Couvray	LOUVET DE COUVRAY, Jean-Baptiste
90.48	Elmine ou la fleur qui ne se flétrit jamais	MASSON, Charles-François-Philibert
90.49	Romans de monsieur de Mayer	MAYER, Charles-Joseph de
90.5	Le courrier extraordinaire des fouteurs ecclésiastiques, ou correspondance intime, secrète et libertine de quelques prélats de qualité, de plusieurs prêtres paillards et d’un certain nombre de prestolets luxurieux; avec des gourgandines titrées, des putains bourgeoises, des filles de joie du Tiers-État et des rac-crocheuses du Quart, ouvrage recueilli par Machault, évêque d’Amiens, et censuré par les quatre Grands-Vicaires de Leclerc Juigné, archevêque de Paris, et apostat de la chrétienté
90.52	Charlotte Belmont, par Charles Milon	MILLON, Charles
90.53	Le véritable philantrope ou l’isle de la philantropie, suivie de la Bonne mère, de la Promenade solitaire, du Sommeil & de la toilette de Vénus, de la Fille bien né de l’Hirondelle & ses petits, du Premier amour, &c. &c., précédée d’anecdotes & de détails peu connus sur J.J. Rousseau, avec une réfutation de son prétendu suicide, par J.J. M.D.C., membre de plusieurs académies, & soldat volontaire dans la Garde nationale parisienne, 6tne, Don. 3®. Bl°n. Dt.S. Thomas	MOUTONNET DE CLAIRFONS, Julien-Jacques
90.54	Le miroir des événemens actuels ou la belle au plus offrant, histoire à deux visages	NOGARET, François-Félix
90.55	Veillées béarnoises, par J.P.P.	PICQUÉ, Jean-Pierre
90.56	La boussole nationale ou aventures histori-rustiques de Jaco, surnommé Henri Quatrième, laboureur, descendant du frère de lait de notre bon roi Henri IV, recueillies par un vrai patriote	POCHET, A.
90.57	Le Palais-Royal, première partie. Les filles de l’Alée-des-soupirs	RÉTIF DE LA BRETONNE, Nicolas-Edme
90.6	Les délassemens secrets ou les parties fines de plusieurs députés à l’Assemblée nationale, traduit de l’anglois par M.A.W.
90.61	Mémoires de Julie de M...	RUTLIDGE, James, dit Jean-Jacques Rutledge
90.62	La femme jalouse	SÉGUR, Alexandre-Joseph-Pierre, vicomte de
90.64	Les deux cousins, histoire véritable	SÉNAC DE MEILHAN, Gabriel
90.65	Le martyr de la liberté	SERIEYS, Antoine
90.7	L’esprit dupe du cœur ou histoire véritable du philosophe Tovler, écrite par lui-même, ouvrage édifiant & orthodoxe
90.9	Le fils de Babouc à Persépolis ou le monde nouveau
91.1	Les aventures de Chrysandre
91.11	Craon et les trois opprimés, par M. Barbault-Royer	BARBAULT-ROYER, P.-F.
91.12	Le livre de famille ou journal des enfans	BERQUIN, Arnaud
91.13	La vie et les aventures de Ferdinand Vertamont et de Maurice son oncle, avec la description du pays & des mœurs des Péru-Mexicains, & la découverte du trésor des anciens empereurs du Mexique, par M.B.I.L.oc-e .	BOULARD, Martin-Sylvestre
91.14	Pastorales dédiées à la nation, par M. Chaisneau, curé de Plombières près Dijon	CHAISNEAU, abbé Charles
91.15	Lettre à M. Necker sur son administration, écrite par lui-mème, suivie d’Aiglonette et Insinuante, conte, par l’auteur de Bien-né, des Trois règnes, conte, par M***, et d’un Décret sur la constitution civile du clergé	CHARRIÈRE, Isabelle-Agnès-Elisabeth van Tuyll van Serooskerken van Zuylen, dame de
91.16	Ma république, auteur Platon, éditeur J. de Sales Ouvrage destiné à être publié l’an	DELISLE DE SALES, Jean-Baptiste-Claude Izouard, dit
91.17	Zélamire ou les liaisons bizarres, histoire récente mise au jour d’après les mémoires de l’héroïne et publiée par l’éditeur de Célestina	DOPPET, François-Amédée
91.18	Petit-Jacques et Georgette ou les petits montagnards auvergnats, par l’auteur de Lolotte et Fanfan, et d’Alexis ou la maisonnette dans les bois	DUCRAY-DUMINIL, François-Guillaume
91.19	Saint-Flour et Justine ou histoire d’une jeune Française du dix-huitième siècle avec un dialogue sur le caractère moral des femmes, par M. de Fcrrieres	FERRIÈRES, Charles-Elie, marquis de
91.2	Les bÿoux du petit neveu de l’Arétin ou étrennes libertines dédiées aux femmes ci-devant de qualité, & sensibles, s’il s’en trouve
91.20	Langle Soirées villageoises ou anecdotes et aventures avec des secrets intéressants	FLEURIOT, Jean-Marie-Jérôme, marquis de
91.21	Gonzalve de Cordoue ou Grenade reconquise, par M. de Florian de l’Académie françoise, de celles de Madrid, Florence etc.	FLORIAN, Jean-Pierre Claris de
91.22	Le rosier et le brouillard, conte par le même auteur de (sic) VOreille	FONTETTE DE SOMMERY, mademoiselle
91.24	Tablettes sentimentales du bon Pamphile pendant les mois d’août, septembre, octobre et novembre, en 1789, publiées par M. Gorjy	GORJY, Jean-Claude
91.25	Stellino ou le nouveau Werther, dédié à madame, belle-sœur du Roi	GOURBILLON, C.
91.26	La fatalité, roman poétique	GRAINVILLE, Jean-Baptiste-Christophe
91.3	Clélie, histoire véritable des folies du temps
91.30	Contes et idylles, par Auguste- Hilarion de Kératry	KÉRATRY, Auguste-Hilarion de
91.31	L’habit gris ou le juste milieu, roman philosophique	L’AULNAYE, François-Henri-Stanislas de
91.32	Les heureux modèles ou l’école du bonheur, roman traduit de l’anglois	LEMIERRE D’ARGY, Auguste-Jacques
91.33	Les deux solitaires des Alpes ou histoire des malheurs du comte et du chevalier de Malmore, par Mr. L***	LIOMIN, L.-A.
91.34	Emilie de Varmont ou le divorce nécessaire et les amours du curé Sévin, par l’auteur de Faublas	LOUVET DE COUVRAY, Jean-Baptiste
91.35	Les déjeunés du village ou les aventures de l’innocence, par M. Marmontel, pour faire suite à la Veillée du même auteur	MARMONTEL, Jean-François
91.36	L’erreur d’un bon père, suivie de Palémon, conte pastoral et des Solitaires de Murcie, conte moral, par M. Marmontel	MARMONTEL, Jean-François
91.37	La veillée, suivie du Franc Breton, par M. Marmontel	MARMONTEL, Jean-François
91.38	Azoline ou la rose d’amour, nouvelle turque, suivie des Albigeoises, avec figure et musique gravées, par M. Mercier, musique de M. Pollet	MERCIER DE COMPIÈGNE, Claude-François-Xavier
91.4	L’eau à la bouche et la pelle au cul, et le déménagement & le départ imprévu du desservant intrus, histoire véritable
91.40	Werthérie	PERRIN, Pierre
91.41	L’année des dames nationales ou histoire, jour-par-jour, d’une femme de France, par N.-E. Réstif-de-la-Bretone Genève & Paris, chés les libraires indiqués à la tête de mon	RÉTIF DE LA BRETONNE, Nicolas-Edme
91.42	Justine ou les malheurs de la vertu	SADE, Donatien-Alphonse-François, marquis de
91.43	Bernardin de La chaumière indienne, par Jacques-Bemardin-Henri de Saint-Pierre	SAINT-PIERRE, Jacques-Henri
91.44	Le roi Guiot, histoire nouvelle tirée d’un vieux manuscrit poudreux et vermoulu	VESQUE DE PUTTELANGE, Jean
91.5	L’éducation d’Admete, roi de Thessalie, conte patriotique utile aux peuples et aux rois, traduit du grec
91.6	Histoire des sept voyages merveilleux de Sinbad le marin
91.7	Julie philosophe ou le bon patriote, histoire à peu près véritable, d’une citoyenne active qui a été tour-à-tour agent & victime dans les dernières révolutions de la Hollande, du Brabant & de la France
91.8	Le lit de noce ou les nuits du docteur Pyrico-Proto-Patou-phlet, livre comique & cependant médicophilosophique, traduit tout nouvellement de la langue gasconne, par un berger d’Arcadie, cet ouvrage est suivi d’une dissertation politique intitulée: Les petites têtes sous de grands bonnets
91.9	Les pantins des boulevards ou bordels de Thalie, confessions paillardes des tribades et catins des tréteaux du boulevard, recueillies par le compère Mathieu...
92.1	Aza ou le nègre
92.10	Le règne du prince Trop-bon dans le royaume des fols, conte oriental ou plutôt histoire occidentale, publiée par madame la toujours comtesse de ***, & dédiée à MM. les rédacteurs du journal intitulé l’Arziï du Roi, sous la direction de M. Montjoye Se trouve à Coblentz, à Worms, à Toumay, à Aix-la-Chapelle & à
92.11	Tableau sentimental de la France depuis la Révolution, par Yorick sous le nom de Sterne, pour servir de suite au Voyage sentimental du même auteur, traduit de l’anglois par l’auteur du poëme de Souza et à’Eleonore
92.12	Le commissionnaire de la ligue d’Outrc-Rhin ou le messager nocturne, contenant l’histoire de l’émigration françoise, les aventures galantes et politiques arrivées aux chevaliers françois et à leurs dames dans les pays étrangers, des instructions sur leurs projets contre-révolutionnels, et des notices sur tous les moyens tentés ou à tenter contre la Constitution, par un François qui fait sa confession générale et qui rentre dans sa patrie	DOPPET, François-Amédée
92.13	Nouvelles nouvelles par M. de Florian de l’Académie françoise, de celles de Madrid, Florence, etc.	FLORIAN, Jean-Pierre Claris de
92.16	Le prince philosophe, conte oriental par l’auteur de la pièce intitulée l’Esclavage des nègres	GOUGES, Marie Gouze, dite Olympe de
92.17	Paulin ou les avantures du comte de Walter	GRANDIN, Charles-François
92.19	Les visites par mademoiselle D** K***	KJÉRALIO, Marie-Françoise Abeille, madame de
92.2	Le cadran des plaisirs de la cour ou les aventures du petit page Chérubin, pour servir de suite à la vie de Marie-Antoinette, ci-devant reine de France
92.20	Valcour et Pauline ou l’homme du jour, anecdote	LABLÉE, Jacques
92.23	Charmansange ou mémoires d’un jeune citoyen faisant l’éducation d’un ci-devant noble, par l’auteur de l’Aventurier françois, &c.	LESUIRE, Robert-Martin
92.24	La bergère d’Aranville, par M. Liomin	LIOMIN, L.-A.
92.25	Les victimes de l’amour et de l’inconstance ou lettres de madame de Blainville	LORY DE NARP, madame
92.27	L’école de l’amitié, conte moral, par M. Marmontel	MARMONTEL, Jean-François
92.29	Fictions morales, par M. Mercier	MERCIER, Louis-Sébastien
92.30	Rosalie et Gerblois ou l’époux généreux, nouvelle champenoise par M. Mercier, avec des romances mises en musique par M. Pollet	MERCIER DE COMPIÈGNE, Claude-François-Xavier
92.31	Les soirées de l’automne et les épanchemens de l’amitié, par C.F.X. Mercier	MERCIER DE COMPIÈGNE, Claude-François-Xavier
92.33	Mon noviciat ou les joies de Lolotte	NERCIAT, André-Robert Andréa de
92.34	Monrose ou le libertin par fatalité	NERCIAT, André-Robert Andréa de
92.35	Honorine Clarins, histoire américaine, publiée par M. Nougaret	NOUGARET, Pierre-Jean-Baptiste
92.36	Le hameau de l’Agnielas, suivi du Ruisseau et de Cécile et de Blondel ou l’oratoire et du Nid de la fauvette, etc., par l’auteur du Citoyen des Alpes	POLLIN, abbé Jean-Baptiste
92.37	Anecdotes historiques de la vie de Bogislas X, duc de Poméranie, surnommé le Grand, suivies de Korem et de Zendar, conte tartare, par M. Rozet	ROZET
92.38	Suite des Vœux d’un solitaire, pour servir de complément au cinquième volume des Etudes de la nature, avec la Chaumière indienne, par Jacques-Bernardin-Henri de Saint-Pierre	SAINT-PIERRE, Jacques-Henri Bernardin de
92.39	Les prémices d’Annette, par M. de S..., Cape. d’infant.	SERVIEZ, le général Emmanuel-Gervais Roergas de
92.4	Les délices de Coblentz ou anecdotes libertines des émigrés français
92.5	Echo foutromane ou recueil de plusieurs scènes lubriques et libertines...
92.7	Les émigrantes ou la folie à la mode, par madame ***
92.8	Nessir et Zulime, conte d’après Raphaël,... et traduit de t l’allemand par Paul-Henri Godet, ci-devant secrétaire in terprète au service de S.M.I. de toutes les Russies
92.9	Nitona Franka et le sultan Patapouf ou histoire de la révolution franche à l’ordre du jour, traduction libre
93.1	Aventures et voyages d’un jeune militaire françois ou les amans infortunés
93.13	Ismaél et Christine, nouvelle africaine, par C.F.X.Mercier, d’après les lettres originales	MERCIER DE COMPIÈGNE, Claude-François-Xavier
93.14	Nouvelles galantes et tragiques recueillies et publiées par C. Mercier de Compiègne	MERCIER DE COMPIÈGNE, Claude-François-Xavier
93.15	Les veillées du couvent ou le noviciat d’amour, poème éroti-satyrique par un bâtard de Mirabeau l’aîné	MERCIER DE COMPIÈGNE, Claude-François-Xavier
93.16	Les Aphrodites ou fragmens thali-priapiques pour servir à l’histoire du plaisir, N° 1	NERCIAT, André-Robert Andréa de
93.19	Les veillées d’un malade ou la fatalité, essai philosophique	VILLETERQUE, Alexandre-Louis
93.20	Journal de Lolotte, par Me. la baronne de W....	WIESENHUETTEN, Frederike Henriette, baronne de
93.3	Décrets des sens sanctionnés par la volupté, ouvrage nouveau enrichi de gravures anglaise
93.4	Le degré des âges du plaisir ou jouissances voluptueuses de deux personnes de sexes différens aux différentes époques de la vie, recueillis sur des mémoires véridiques par Mirabeau, ami des plaisirs, ornés de gravures et de chansons, avec le portrait de chaques (sic) âges (sic) Paphos, de l’imprimerie de la mère des
93.5	Voyage du diable et de la folie ou causes des révolutions de France, Braband (sic), Liege & autres
93.6	Vie politique de Marie-Louise de Parme, reine d’Espagne, contenant ses intrigues amoureuses avec le duc d’Alcudia et autres amans et sa jalousie contre la duchesse d’Alve, etc. etc., recueillie sur des mémoires authentiques, ornée de jolies gravures A la cour d’Espagne et se trouve à	BARBA, Jean-Nicolas
93.8	Lettres trouvées dans des porte-feuilles d’émigrés	CHARRIÈRE, Isabelle-Agnès-Elisabeth van Tuyll van Serooskerken van Zuylen, dame de
93.9	Histoire de la galanterie chez les différens peuples	CHAUSSARD, Pierre-Jean-Baptiste, dit Publicola
94.1	Ce qui fait le bonheur ou mémoires de Mme. de Bois-Du-Lys, écrits par elle-même
94.11	Les nuits de Paris ou le spectateur nocturne, tome huitième, seizième partie	RÉTIF DE LA BRETONNE, Nicolas-Edme
94.12	Adraste et Nancy V. Y., anecdote américaine, par A.T. de Rochefort, département de la Charente-Inférieure	ROCHEFORT, A.T. de
94.13	Adèle de Sénange ou lettres de lord Sydenham	SOUZA, Adélai’de-Marie-Émilie Filleul, comtesse de Flahaut, puis marquise de
94.14	Necker, baronne de Zulma, fragment d’un ougrage (sic) par Mad. la Baronne St*** de H*******	STAËL-HOLSTEIN, Anne-Louise-Germaine Necker, baronne de
94.15	La vie et l’oeuvre de feu l’abbé Bazin, évêque de Mizoura en Mizourie	VERDAN
94.2	Suzettc ou la nouvelle paysanne parvenue
94.4	Paramythes, imitées d’Herder	BILDERBECK, baron Ludwig Benedict Franz von
94.5	Félix et Pauline ou le tombeau au pied du Mont-Jura, par P. Blanchard	BLANCHARD, Pierre
94.6	Alfrede ou le manoir de Warwick Lausanne. Louis	CAZENOVE D’ARLENS, Constance de
94.6bis	Codicile sentimental et moral ou recueil de discours, de contes, anecdotes, idylles, romances et poésies fugitives	DUCRAY-DUMINIL, François-Guillaume
94.7	Les aventures de Jérôme Lecocq ou les vices du despotisme et les avantages de la liberté, présentées à la Convention nationale par Henriquez, citoyen de la section du Panthéon-Français	HENRIQUEZ, L.-M.
94.8	Voyage autour de ma chambre par M. le chev. X***.O.A.S.D.S.M.S	MAISTRE, comte Xavier de
95.1	Apollon passant en revue les filles du Palais-Egalité
95.10	Valmidor et Florella ou les heureux infortunés, conte moral et didactique destiné à l’éducation	BOIELDIEU, Marie-Jacques-Amand
95.12	Triomphe de la saine philosophie ou la vraie politique des femmes, par la C. B***	BOOSER, madame
95.13	Martial, roman pastoral, imité d’Estelle par Florian par J.T.	BRUGUIÈRE, J.-T. (du Gard)
95.14	Confidence d’un jeune homme, par A.C.L. Condren-Susanne	CONDREN-SUSANNE, A.-C.-L.
95.15	Le damoisel et la bergerette ou la femme vindicative, historiette du XVIe. siècle, divisée en trois chapitres, par le citoyen Cuvelier, de la Commission de l’Instruction publique	CUVELIER DE TRIE, Jean-Guillaume-A.
95.18	Les soirées de la chaumière ou les leçons du vieux père, ouvrage orné de gravures, par le citoyen Ducray-Duminil	DUCRAY-DUMINIL, François-Guillaume
95.20	Les chevaliers du cygne ou la cour de Charlemagne, conte historique et moral, pour servir de suite aux Veillées du château et dont tous les traits qui peuvent faire allusion à la révolution française, sont tirés de l’histoire, par madame de Genlis, auteur du Théâtre d’éducation, d’Adèle et Théodore, etc.	GENLIS, Stéphanie-Félicité Ducrest de Saint-Aubin, marquise de Sillery, comtesse de
95.24	Dorbeuil et Céliane de Valran, leurs amours et leurs malheurs pendant la tyrannie de Robespierre	LEBASTIER, C.-B.
95.25	Zénobie, reine d’Arménie	LEGROING-LA-MAISONNEUVE, mademoiselle F.-T.-A.
95.26	Camille et Formose, histoire italienne, par P.A.L. Maton (de la Varennc)	MATON DE LA VARENNE, Pierre-Anne-Louis de
95.28	Gérard de Velsen, nouvelle historique en VII. livres, par le C. Mercier de Compiègne	MERCIER DE COMPIÈGNE, Claude-François-Xavier
95.29	Ismaël et Christine, nouvelle historique, par C. Mercier de Compiègne, nouvelle édition, augmentée d’un essai sur le bonheur et autres pièces fugitives	MERCIER DE COMPIÈGNE, Claude-François-Xavier
95.31	Les nuits de la Conciergerie, rêveries mélancoliques et poésies d’un proscrit, fragmens échappés au vandalisme	MERCIER DE COMPIÈGNE, Claude-François-Xavier
95.32	Les nuits d’hiver, variétés philosophiques et sentimentales, contes et nouvelles en prose et en vers, recueillies par Mercier de Compiègne	MERCIER DE COMPIÈGNE, Claude-François-Xavier
95.33	Contes et historiettes en prose de Félix Nogaret	NOGARET, François-Félix
95.34	La recette du médecin Nicoclès, anecdote orientale du règne de Cyrus	PONT-WULLYAMOZ, Marie-Louise-Françoise de
95.35	Le naufrage	QUESNÉ, Jacques Salbigoton
95.36	Aline et Valcour ou le roman philosophique, écrit à la Bastille un an avant la Révolution de France, orné de quatorze gravures, par le citoyen S***	SADE, Donatien-Alphonse-François, marquis de
95.37	La philosophie dans le boudoir, ouvrage posthume de l’auteur de Justine	SADE, Donatien-Alphonse-François, marquis de
95.42	Recueil de morceaux détachés par Mad- la Bne- Staël de Holstein	STAËL-HOLSTEIN, Anne-Louise-Germaine Necker, baronne de
95.9	Les loisirs de la liberté, nouvelles républicaines par le citoyen Barbault	BARBAULT-ROYER, P.-F.
96.1	Aventures galantes de Rosalie, fille de joie, suivies du portrait de quelques jolies femmes de Paris, ouvrage traduit de l’anglais
96.10	Veillées américaines, seconde édition
96.11	Petite bibliothèque des enfans, par P. Blanchard, auteur de Félix el Pauline	BLANCHARD, Pierre
96.12	Le rêveur sentimental, par P. Blanchard, auteur du Catéchisme de la nature, de Félix et Pauline et de la Petite bibliothèque des enfans	BLANCHARD, Pierre
96.13	Simplicie ou les voluptés d’amour	BLANCHARD, Pierre
96.16	Lilasie ou la beauté outragée par elle-même, par l’auteur des Lettres récréatives et morales	CARACCIOLI, Louis-Antoine, marquis de
96.17	Henriette et Emma ou l’éducation de l’amitié	CAZENOVE D’ARLENS, Constance de
96.18	Les trois femmes, nouvelle, par l’auteur des Lettres de Lausanne, publiée pour le soulagement d’une de ses amies dans le malheur	CHARRIÉRE, Isabelle-Agnès-Elisabeth van Tuyll van Serooskerken van Zuylen, dame de
96.18bis	La fille hussard ou les aventures d’un jeune sergent, roman par J.G.A. Cuvelier	CUVELIER DE TRIE, Jean-Guillaume-A.
96.2	Carline et Belval ou les leçons de la volupté
96.23	Révolutions de l’Inde pendant le dix-hùitième siècle ou mémoires de Typhoo-Zaeb, sultan du Maissour, écrits par lui-même et traduits de la langue indostane, publiés par Antoine Fantin-Desodoards, citoyen français	FANTIN-DESODOARDS, Antoine-Etienne-Nicolas
96.3	Les confessions d’un solitaire
96.30	Les amours du fameux comte de Bonneval, pacha à deux queues, connu sous le nom d’Osman, rédigés d’après des mémoires particuliers par J. Grasset Saint-Sauveur	GRASSET-SAINT-SAUVEUR, Jacques
96.31	Aventures de dom Carlos et Séraphine, traduit de l’espagnol. Warc-Julio et Zelmire, histoire véritable traduit de l’anglais, par J. Grasset-St. Sauveur	GRASSET-SAINT-SAUVEUR, Jacques
96.32	Hortense ou la jolie courtisanne, sa vie privée dans Paris, ses aventures tragiques avec le nègre Zéphire dans les déserts de l’Amérique	GRASSET-SAINT-SAUVEUR, Jacques
96.33	Tout s’arrange à la fin ou histoire de M. Melfort, écrite dans le courant de	HAUDRY, mademoiselle
96.38	Les tombeaux, ouvrage philosophique, parC.-G.	LOMBARD DE LANGRES, Vincent Lombard, dit
96.39	Les trois sœurs et la folie guérie par l’amour ou les heureux effets de l’amour filial, par Mme Boumon-Malarme	MALARME, Charlotte de Bournon, comtesse de
96.40	Marcoméris ou le beau troubadour, nouvelle de chevalerie, suivie de contes en vers, par J.L. Mallet	MALLET, Jean-Louis
96.41	Histoire de Rose d’Amblainville, ci-devant religieuse à l’ordre de Cîteaux ou les abus du pouvoir maternel	MATHEY DE MASSILLIAN, L.-Ch.-C.
96.42	Les malheurs de la jalousie ou lettres de Murville et d’Eléonore Melcour, par Mme Ménard	MÉNARD, madame
96.43	Les veillées d’une femme sensible, par M^me Ménard	MÉNARD, madame
96.44	Démence de madame de Panor en son nom Rozadelle Saint-Ophèle, suivi d’un conte de fées, d’un fragment d’Antiquès, d’une anecdote villageoise et de quelques couplets, par l’auteur de VHistoire de la baronne d’Alvigny ou la joueuse	MÉRARD DE SAINT-JUST, Anne-Jeanne-Félicité d’Ormoy, madame
96.46	Les catastrophes amoureuses ou le retour à la vertu, histoire vraisemblable par J.C.M.P.	MOLINE, Pierre-Louis
96.49	Opuscules philosophiques et poétiques du frère Jérôme, mises (sic) au jour par son cousin Gabriel P.	PEIGNOT, Étienne-Gabriel
96.5	L’enfant du plaisir ou les délices de la jouissance
96.50	Pigault de l’Epinay, dit L’enfant du carnaval, histoire remarquable et sur-tout véritable, pour servir de supplément aux rapsodies du jour	PIGAULT-LEBRUN, Charles-Antoine-Guillaume Pigault de l’Epinay, dit
96.51	Anecdotes tirées de l’histoire et des chroniques suisses	PONT-WULLYAMOZ, Marie-Louise-Françoise de
96.52	Miss Belhowe et le lord Clarendon ou les épreuves de l’amour et de la vertu, par la citoyenne ***	QUATREMÈRE-DISJONVAL, madame S.-N.
96.53	Mes vingt-cinq ans ou mémoires d’un jeune homme, fidèlement rédigés ou recueillis par lui-même	ROSNY, Antoine-Joseph-Nicolas de
96.54	Essais en vers et en prose, par Joseph Rouget de Lisle	ROUGET DE LISLE, Claude-Joseph
96.6	Les infortunes de Maria, esclave persanne
96.60	Cyrus et Milto ou la République, par H. d’Ussières	USSIÈRES, H.
96.61	Adélaide de Clarencé ou les malheurs et les délices du sentiment, lettres écrites des rives lémantines, recueillies et publiées par F. Vemes de Genève, auteur de la Franciade, du Voyage sentimental, etc.	VERNES fils, F.
96.8	Nouvelle vision de Babouc ou la Perse comme elle va Sur le rivage
96.9	Les plus courtes folies sont les meilleures ou l’infidèle malgré lui L’imprimerie de Cocatrix, an
97.1	Adèle ou le malheur, roman pastoral mêlé de romances, par M.Auguste T.D.M., âgé de 18 ans
97.11	Halicamasse, Prienne, Paphos et le Mont-Érix,opuscules posthumes de l’abbé Barthélemy	BARTHÉLEMY, abbé Jean-Jacques
97.13	Pauline et moi, par Berthevin	BERTHEVIN, J.-J.-G.
97.14	Rose ou la bergère des bords du Morin, suivie de la Chaumière du vieux marin, par Pierre Blanchard	BLANCHARD, Pierre
97.15	Le roman de Merlin l’enchanteur, remis en bon français et dans un meilleur ordre, par M. S. Boulard	BOULARD, Martin-Sylvestre
97.16	Les amours et aventures d’un émigré	BOURLIN, Antoine-Jean
97.17	La mesure des rois	CAMBRY, Jacques
97.18	Coralie ou le danger de se fier à soi-même, par madame de CH....	CHOISEUL-MEUSE, comtesse Félicité de
97.21	Jacques le fataliste et son maître, par Diderot	DIDEROT, Denis
97.22	La religieuse, par Diderot	DIDEROT, Denis
97.23	Victor ou l’enfant de la forêt, par M. Ducray-Duminil, auteur de Lolotte et	DUCRAY-DUMINIL, François-Guillaume
97.24	Les contes jaunes ou le livre de l’enfance, propre à familiariser l’âge le plus tendre avec la lecture et les premières notions de la morale, par A.F.J. Fréville	FRÉVILLE, Anne-François-Joachim
97.25	Antonio ou les toumicns de l’amour et ses douces illusions dans un cœur sensible, par A.G......d, avec figure	GALLAND, Antoine
97.26	Le sort des femmes ou l’infortunée Énize (nouvelle apologie du beau sexe), par l’auteur d’Antonio	GALLAND, Antoine
97.27	Lettres d’une jeune Vestale et d’un jeune Romain	GIROD, abbé Charles-Jean
97.29	Adolphe ou la famille malheureuse, par Mme. G... van......	GRANDMAISON VAN ESBECQ, madame
97.3	Manuscrit trouvé dans les papiers d’un proscrit du tems de la terreur. Histoire d’une épingle
97.31	Contes orientaux et autres, traduits de l’allemand et de l’anglais, rédigés par M. Labaume	GRIFFET DE LABAUME, Antoine-Gilbert	SPIESS, Heinrich
97.33	Révélations d’amour, par Henrion	HENRION, Charles
97.34	Lucie et Victor, nouvelle par J.-H. H***	HUBIN, Jean-Hubert
97.39	Contes nouveaux en prose, tirés des meilleurs auteurs et publiés à l’usage de la jeunesse	KÜHNE, F.-Th.
97.41	Bauny ou l’innocence et la scélératesse, anecdote historique	LEBRUN-TOSSA, Jean-Antoine Brun, dit Alexandrine de
97.43	Confessions de Rabelais, publiées et mises en françois moderne par l’auteur de (Aventurier françois	LESUIRE, Robert-Martin
97.44	Le secret d’être heureux ou mémoires d’un philosophe qui cherche le bonheur, par l’auteur de VAvanturier français	LESUIRE, Robert-Martin
97.48	Les matinées du printemps, œuvres diverses, par Mercier de Compiègne, membre du Lycée des arts	MERCIER DE COMPIÈGNE, Claude-François-Xavier
97.51	Primerose, par M.cl de V..dé	MOREL DE VINDÉ, Charles-Gilbert Terray, vicomte de
97.53	Eugène et Sophie ou les violents effets de l’amour	QUESNÉ, Jacques Salbigoton
97.59	Sabina d’Herfeld ou les dangers de l’imagination, lettres prussiennes recueillies par R*** St Cir	RÉVÉRONI SAINT-CYR, Jacques-Antoine, baron de
