P13	check		P5	1P5	2P5	3P5	4P5								P4					P44			P7	P43				P46			P45									P47			P48			P49			P50			P51		P52		
88.30	cm		BÉRENGER, Laurent-Pierre												Le mentor vertueux, moraliste et bienfaisant ou choix de faits mémorables, d’anecdotes intéressantes, d’entretiens moraux, de lettres & de descriptions propres à inspirer le goût des choses honnêtes, & à former le style & le langage des jeunes gens		Paris			Nyon l’aîné			1788	1788				in-12			540p.		BN+ B Delcro Q Reboul																Une centaine de petites anecdotes, tantôt historiques, tantôt inventées, tirées d’auteurs connus (Berquin, Voltaire, Marmontel, Arnaud...)							
88.31	t		BERKELEY, George Monck						SOULÉS, François						L’indépendant, nouvelle anglaise, imitée par M. Soulès		Londres & Paris			Cadell, Lagrange			1788	1788				in-8			viii + 106p.		A BN+ AL 1788 I 322-326 0 Rochedieu Streeter					Trad. de The Independent, 1784.88.31		3e personne			Angleterre			milord Fanfare, milord Bouteille, Woodville			aventures comiques (un homme qui a choisi de vivre simplement donne un exemple à des nobles extravagants)			ton satirique, but moral				
88.32			BETTE D’ETTIENVILLE, Jean-Charles-Vincent de												La marquise de Ben***		Spa & Paris			Buisson			1788	1788				2t. in-12			234, 242p.		BN+ JL 1 1787 B Weller							Lettres, avec récit intercalé			Paris, province, Spa			la marquise de Ben***, le chevalier de Saint-George, le commandeur d’Holney, madame de Soligny			malheurs, intrigues sentimentales, aventures romanesques			sensibilité passionnée				
88.33			BILDERBECK, baron Ludwig Benedict Franz von												Bagatelles littéraires, par L.B. de Bilderbeck		Lausanne & Paris			Mourer, Guillaume de Bure l’aîné			1788	1788				in-8			288p.		BN+ JL xxxii 1788; JP 9.ix.88 Q		Nous n’avons pu trouver d’exemplaire du t. II annoncé à la fin de celui-ci, et il se peut qu’il n’ait jamais paru. L’ouvrage comprend quelques contes moraux:																			Pp. 123-133, Le pauvre Damon; 137-144, Les pantoufles d’Abu-Casem; 147-158, Le roi bienfaisant; 161-174. De l’innocence et un bon coeur; 177-187, Corasin <£ Zaïde ou la providence; 191-237, La fatalité; 241-251, Esquisse; 255-288, Le désespoir d’amour.		
88.34	t		BLOWER, Elizabeth						LA MONTAGNE, le baron Pierre de						La visite d’été ou portraits modernes par l’auteur de Georges Bateman et Maria, en deux volumes, traduit de l’anglois par M. de la Montagne, auteur de plusieurs ouvrages dramatiques		Paris & Tils			Knapen			1788	1788				2t. in-12			178, 154p.		BM BN+ JP9.vi.88 Rochedieu Streeter					Trad. de Featuresfrom Life or a Summer Fisit, 1788.		3e personne			Angleterre			Mathilde, M. Conway, le petit Frédéric, Barton, lady Gaythome			intrigue mondaine, histoires de famille			vertu, sensibilité				
88.35	t		BONHOTE, Mrs Elizabeth						LEMIERRE D’ARGY, Auguste-Jacques						Olivia, roman traduit librement de l’anglois, par M.D.		Paris			Gattey			1788	1788				2 part, in-12			202, 187p.		BN+ JL xlvii 1787 Q		donne la date de 1787, suivant sans doute une annonce parue cette année. Rochedieu donne s.l.n.d. et la date de 1789 au lieu de 1787 pour l’ouvrage anglais. Streeter cite ce titre sans indiquer une date.			Trad. de Olivia or Deserted Bride, 1787.		3e personne			Angleterre			Elford, Hamilton (négociant), Olivia, le recteur Godlwyn, Fane, Davenport			intrigue sentimentale			sensibilité, vertu				
88.36			BRICAIRE DE LA DIXMERIE, Nicolas												Le géant Isoirc, sire de Mont-Souris, histoire gauloise traduite du celte par M. de La Dixmerie		Genève & Paris			Briand			1788	1788.				2 part, in-12			xii + 182, 203p.		Oron+ DLC+ JL xiv 1788 Cohen Delcro Michaud 0		Les dernières pages (II, 175-203) contiennent un Dialogue entre un cosmopolite et un Parisien.					1re personne			Gaule			lsoire, Barasine (druidesse), le roi Ambigat, Ananax, Dalia			voyages, amours, intrigues politiques, combats			ton sombre				
88.37	t		BURKE, Mrs W.										?		Ela ou les illusions du cœur, traduite de l’anglois		Paris			Lagrange			1788	1788				in-12			21 lp.		BM+ BN+ Rochedieu		Rochedieu ne donne qu’une édition sj.n.d.; selon lui, l’auteur est Mrs Ann Burke.			Trad. de Ela or the Delusions of the Heart, 1788.		Lettres			Angleterre			Mortimer, Caroline, Ela, William Barlon			amours et malheurs d’Eta			sensibilité				
88.38	m		CARACCIOLI, Louis-Antoine, marquis de												Suite des Entretiens du Palais-Royal Spa &		Paris			Buisson			1788	1788				2 part, in-12			195, 216p.		BN+		Suite d’un ouvrage paru en 1786; les pages de titre portent ‘troisième partie’ et ‘quatrième partie’ respectivement. Pour d’autres détails, v. 86.24.																					
88.39			CASANOVA, Giacomo, dit												Casanova de Seingalt Jcosameron (sic) ou histoire d’Edouard et d’Elisabeth, qui passèrent quatre vingts un ans chez les Mégamicres, habitans aborigènes du protocosme, dans l’intérieur de notre globe, traduite de l’anglois par Jacques Casanova de Seingalt, Vénitien, docteur ès loix, bibliothécaire de monsieur le comte de Waldstein, seigneur de Dux, chambellan de S.M.J.R.A. Prague, imprimerie de l’École		normale						1788	[non déclaré]				5t. in-8			xxxii + 265 + vi, xl + 306 + vi, 377 + vii, 370 + vi, 380 + v p.		BM+ BN+ B Gay Gove Messac Monglond Q Streeter (trad. supposée) Voir sur cet ouvrage J. Rives Childs, Casanoviana, an Annoted World Bibliography of Jacques Casanova de Seingalt..., Vien-na, Nebehay, 1956. 							Cadre 3e personne avec beaucoup de dialogues et récit principal 1re personne			Angleterre (XVIe, XVIIe siècles) royaume souterrain			Guillelmine, Elisabeth, Edouard, le comte de Bridgend			voyages imaginaires			réflexions philosophiques de toutes sortes				
88.4	ct		?						LANGLÈS, Louis-Mathieu						Contes, fables et sentences tirés de différents auteurs arabes et persans, avec une analyse du poème de Ferdoussy sur les rois de Perse, par le traducteur des Instituts politiques et militaires de Tamerlan		Paris			Royez			1788	1788				in-12			176p.		BM+ JP 7.X.88 B Dufrenoy Q		Langlès a publié des Fables et contes indiens en 1790 (v. 90.8) qui servent de suite à cet ouvrage. Les Contes de 1788 ont été repris dans la Bibliothèque choisie de contes, de facéties et de bons mots, avec le titre: Bibliothèque choisie de contes orientaux... (v. ce titre ci-dessous, Autres éditions).																			Pp. 1-36, Fables persanes tirées de Baharistan de Djamy; 37-72. Medjinoun ou le fou par amour, imité de Djouini. avec de petites anecdotes: 73-116, Le moraliste oriental; 1117-176, Notice sur la vie et des ouvrages de Ferdoussy, poète persan. /		
88.40	t		CAZOTTE, Jacques					des AUTEURS INCONNUS	CHAVIS, dom Denis	CAZOTTE, Jacques				adapt. par CHAVIS, dom Denis et CAZOTTE, Jacques	Continuation des Mille et une nuits, contes arabes, traduits littéralement en françois par dom Denis Chavis, arabe de nation, prêtre de la Congrégation de St. Bazile & rédigés par M. Cazotte, membre de l’Académie de Dijon, &c.		Genève & Paris			Barde, Manget et compagnie, Cuchet			1788	1788 (t. I-II) - 1789 (t. III-IV)				4t. in-12			438, 488, 491, 517p.		BN+ CorrL juin 1790 Dufrenoy Shaw		V. Shaw, pp. 79-90, sur l’authenticité des traductions. Cazotte semble avoir travaillé d’après une version française préparée en manuscrit par le prêtre arabe, dom Chavis, mais il a beaucoup changé et augmenté son modèle. Nous marquons d’un astérisque (*) les contes qui ne se trouvent pas dans le manuscrit de dom Chavis conservé à la BN et qui, selon Shaw, pourraient être de l’invention de Cazotte.																			I, 11-112, Le calife voleur; 112-270. Le pouvoir du destin; 271-336, Histoire d’Halechalbé; 337-438, *L’imbécile ou histoire de Xailoun. II, 5-256, Aventures de Simoustapha: 257-265, "Histoire d’Alibengiad; 266-361, Histoire de Sinkarib: 362-365, *Histoire de la famille du Schebandad de Surate; 366-420, *L ’amant des étoiles, conte de Cabil-Hasen; 421-478, *Les prouesses & la mort du capitaine Tranchemont; 480-488, *Rêve de Valid-Hasen. III, 6-44, Histoire de Bohetzad: 45-63, L’obstiné; 64-91. L’imprudent; 92-114, Le patient; 115-126, L’impatient; 127-152, La résignée; 153-164, Le confiant; 165-173, Histoire de Bahar-kan; 174-198, Le prudent; 199-234, Le prédestiné; 235-295, Histoire de Selimanska & de sa famille; 296-314, Histoire du roi de Karam & de l’esclave; 315-341, Histoire d’Habib <£ de Doratil-goase; 342-460, Histoire d’Illabousatrous; 461-491, Histoire de la dame aux beaux cheveux. IV, 5-84, Continuation de l’histoire d’Habib & Doratil-goase; 85-93, Epilogue de l’Editeur au sujet du conte d’Habib & de Doratil-goase; 94-174, “Histoire du Maugraby ou le magicien; 175-208, Histoire d’Halaiaddin, prince de Perse; 209-267, Histoire d’Ymalladdin, prince du grand Katay; 268-322, Histoire de Baha-Ildin, prince de Cinigaé; 323-397, Histoire de Shaha-dildin, prince de Damas; 398-440, *Histoire des amours du Maugraby avec sœur des planètes; 441-517, "Histoire de la naissance du Maugraby.		
88.41	c_MH		CAZOTTE, Jacques												Œuvres badines et morales de M. C***, dédiées à MM. de l’Académie de Dijon. III. volume		Lausanne & Paris						1788	1788				2 part, in-8			viii + 182, 155p.		BM (1re part.) BN+ Dufrenoy		C’est le troisième tome des Œuvres badines dont deux volumes avaient paru en 1776 (v. 76.18). La première partie ne comprend que des ouvrages en vers. [...] L’édition en 7t. des Œuvres badines parue la même année (v.76.18).																			2e partie, 1-10, Le fou de Bagdad ou les géants, conte antidiluvien; 11-80, L’honneur perdu et recouvré en partie et revanche ou rien de fait, nouvelle héroïque: 81-126, La belle par accident, conte de fée.		
88.42			CHAISNEAU, abbé Charles												Areas, pastorale sur les assemblées provinciales, par M. l’abbé Chaisneau, curé de Maillot près de Sens		Sens			veuve Tarbé			1788	1788				pet. in-8			92p.		BN+ Q							3e personne			Bathos (‘vallon charmant situé sur les bords de l’Alphèe’)			Areas, Nisa			un sage vieillard donne des conseils aux hommes qui viennent le consulter sur l’état regrettable de leur pays			thèmes politiques				
88.43			CHARRIÈRE, Isabelle-Agnès-Elisabeth van Tuyll van Serooskerken van Zuylen, dame de												Tuyll van Serooskcrken van Zuylen, dame de Observations et conjectures politiques		J.			Witel, Verrières-Suisses			1788	1788				in-8			80p.		BM+ BN CorrL août 1788 Godet																					Pp. 35-38, 43-46, Bien-né: conte satirique sur Louis XVI.		
88.44	*		CHAUDON DE LA MEDE												Histoire très plaisante arrivée à un bossu amoureux de la ville d’Angoulême		Paris			Laurens junior, s.d.			1788	(vers 1788)				in-8			8p.		B																							
88.45	nt		COMBE, William						SUARD, Amélie Panckoucke, madame					adapt. par SUARD, Amélie Panckoucke, madame	Lettres d’un jeune lord à une religieuse italienne, imitées de l’anglois par madame ***		Paris			les marchands de nouveautés			1788	1788				in-12			xvi + 247p.		BM BN+ JP 26.iii.88 B Streeter		C’est B qui attribue la traduction à madame Suard. C.P. Barbier exprime des doutes sur cette attribution dans son article: ‘Letters of an Italian Nun’, Revue de littérature comparée, XXVIII (1954), pp. 75-89. La traductrice a largement remanié l’ouvrage original et lui a donné un dénouement heureux. Une autre version française de ce roman a été publiée en 1787, avec le titre: Maria ou lettres d’un gentilhomme anglois (87.32).			Trad. et adapt. de Letters of an Italian Nun and an English Gentleman, 1781. Pour d’autres détails, et pour la description de l’ouvrage, v.87.32.																		
88.46			DAUBENTON, Marguerite												Supplément à l’histoire de Zélie dans le désert, par madame D......, pour servir de suite à la première & seconde édition		Londres & Paris			Belin, Desenne			1788	1788				in-8			120p.		A+ AL 1789 IV 303-305		C’est une suite de Zélie dans le désert (86.29).					Lettres			désert			Ninette, Zélie, le jeune d’Ermancour, le comte de Lizadie			aventures des enfants de l’héroïne de Zélie dans le désert			sensibilité, mélancolie				
88.47	n		DELISLE DE SALES, Jean-Baptiste-Claude Izouard, dit												Théâtre d’un poète de Sybaris, traduit pour la première fois du grec, avec des commentaires, des variantes et des notes...		Sybaris & Paris			chez les libraires qui vendent des nouveautés			1788	1788				3t. in-18			Iviii + 179, lix + 165, 167-347p.		BM BN+ Delcro Gay Q Weller		Le t. 111 comprend Egérie, anecdote grecque. C’est une version remaniée et considérablement augmentée du Sacre de Numa (v. 75.27).																					
88.48			DUCRAY-DUMINIL, François-Guillaume												Lolotte et Fanfan ou les aventures de deux enfans abandonnés dans une isle déserte, rédigées & publiées sur des manuscrits anglais, par M.D**. du M**. A Charle’s-Town et se trouve à		Paris			Maradan			1788	1788				4 part. in-12			xii+ 202, 168,216,213p.		BN+ AL 1788 V 155-176; JP 19.vii.88 B Delcro Gove Q Streeter (trad. supposée) Weller							3e personne, avec récits intercalés 1re personne			Indes occidentales			milord Welty, Lolotte, Fanfan, Derly, Jerwik			aventures romanesques (naufrages, île déserte, enfants élevés dans la nature)			sensibilité effrénée				
88.49	m		DUVERNET, abbé Théophile-Imarigeon												Les dîners de M. Guillaume, suivis de l’avanture de son enterrement								1788	1788				in-12			108p.		BN! Q		Suite de Monsieur Guillaume du même auteur (v. 81. 18).																			En marge: discussions satiriques, mais avec une certaine mise en scène		
88.5															Les dangers d’un amour illicite ou le mariage mal assorti, histoire véritable, par M. le comte de ***		Londres & Paris			Gattey			1788	1788				2 part, in-12			336, 346p.		A BN+ JL xliii 1788		L’édition de 1785 donnée par Gay est sans doute une en-eur pour 1788.					Lettres			Paris, province			le comte de C***, la marquise de V***			intrigue sentimentale			analyse des sentiments				
88.50			ERLACH, Rodolphe-Louis d’												Code du bonheur renfermant des maximes et des réglés relatives aux devoirs de l’homme envers lui-même, envers ses semblables et envers Dieu, par M. Rodolphe-Louis d’Erlach, membre du Conseil souverain de la République de Berne & capitaine-général à Lugano		Lausanne			Jean-Pierre Heubach et compagnie			1788	1788				7t. in-8			xvi + 405, 430, 528, 461. 423. 348. 302p.		BN! JL xxxvii 1788; JP 29.X.88																Dissertations morales présentées de temps en temps sous une forme romanesque ou illustrées par des contes					I, 1-18, Exposé de quelques systèmes sur le bonheur, songe; 378-405. Le pot pourri, songe. II, 1-61. Phoenix; 76-102, Leucippe ou la propreté, anecdote suisse; 103-119, La nécessité d’éviter les dangers initules, lettre au chevalier de Folville; 127-151, L anneau de Gigès retrouvé & reperdu; 239-262, Relation de mon séjour de Bienvûs. capitale de la lune; 263-289, Relation de mon séjour de Malvûs, capitale des antipodes de la lune; 401-424, Les oracles, conte. III, 1-20, Les spectres, conte; 43-59, La crédulité & ses dangereux effets, conte; 60-88, Le fanatisme, anecdote historique; 125-147, Histoire d’Héman; 148-176, Histoire du derviche Sandy; 177-205, Remèdes contre les maux naturels, songe; 210-229, Landenberg ou remède contre les persécutions; 230-239, Sur l’ennui, conte; 282-304, Damoclès ou la bienfaisance dissipant les chagrins; 305-314, Le jugement d’Euphradès, idille; 335-343. Tutire & Thamiris; 436-447, Demadès ou dangers des cautionnemens, conte moral; 447-480, L’aventure de Seged, conte de fée. IV, 57-76, La jalousie, idylle; 77-95. La colère, conte; 96-119, Mon aventure, songe; 120-139, Effets de la redoutable passion du jeu, anecdote; 140-154, Cyparisse ou les suites funestes de l’ivrognerie; 154-175. Amalazonte ou discours sur la curiosité, rêve; 232-250, Thrason ou la présomption, anecdote historique; 251-269, L’ambitieux converti, conte; 274-297, Comment il faut envisager l’amour, jouir de ses plaisirs & se préserver de ses pcines.anecdole de l’ancienne Grèce; 343-378, Méthode sûre de ne point être la dupe d’autrui ou la prédiction accomplie, conte s’il en fut jamais; 379-432, L’art de parler dl de se taire ou le voyage en ballon. V, 1-24, Le Tartare à Rouen; 25-41, Combien il est dangereux de menacer ses ennemis; 42-63, Duclos ou les fruits du commerce des courtisanes, anecdote historique: 118-142, Le voyage aux enfers ou tableau des principaux vices de l’homme, rêve de nuit; 143-184, Le voyage aux enfers &c.. rêve de jour; 185-220, La procession des justes, songe; 306-339, La galerie des vertus, rêve; 340-360, Rosalie, Clorinde. Melite ou conseils aux parens sur l’article du mariage de leurs enfans; 361-371, Delphis & Mirtille ou ce qui peut rendre l’hymen heureux, idille; 372-396, Du Mont & d’Elvin ou réflexions sur l’état du mariage, conte. VI, 19-36, Mithridate ou l’art de distinguer l’ami du flatteur, anecdote asiatique; 37-56, Les funestes effets de la discorde ou Huascar <S Atahualpa, anecdote péruvienne; 57-77, Pardon des injures, conte moral; 78-80, Il faut rendre le bien pour le mal; 326-348, L’optimisme ou rêve qui n’en est point un. VIL, 257-276, Relation très authentique d’un voyage dans les autres mondes.		
88.51			FANTIN-DESODOARDS, Antoine-Etienne-Nicolas												Ander-Can, raja de Brampour et Padmani, histoire orientale, traduite de la langue malabare par madame la comtesse de Ch M.R.D.		Brampour & Paris			Briand			1788	1788				3t. in-12			xii + 240, viii + 235, viii + 212p.		BN+ JP 10.iii.88 B Delcro Dufrenoy Weller		La date de 1783 donnée par Q est sans doute une erreur pour 1788.					1re personne, avec récits intercalés 1re et 3e personne			Indes			Rang-Zing, Ander-Can, Padmani, Falcour (cour)			aventures romanesques, voyages, intrigues politiques							
88.52			FERRIÈRES, Charles-Elie, marquis de												La femme et les Vœux, par M ***		Amsterdam & Paris			Poinçot			1788	1788				2 part, in-12			x + 228, 199p.		BN+ JL xiv 1788; JP 5.v., 23.X.88 B Q																					I, La femme: 3e personne; province; M. de Saint Flour, madame la Sare, Julie; longues dissertations sur les femmes. II, Les vœux: 1re personne; province; M. Masson, le Père Provincial, madame Sibillau; récit d’une vocation forcée.		
88.54			FONTETTE DE SOMMERY, mademoiselle												Lettres de mademoiselle de Tourville à madame la comtesse de Lenoncourt		Paris			Barrois l’aîné			1788	1788				in-12			432p.		A BN+ CorrL fév. 1788; JL ix 1788; JP 21.iv.88 Delcro Q							Lettres			Paris, province			mademoiselle de Tourville, madame Euphrosie, mademoiselle de Tendre, le chevalier de Marillac			intrigue mondaine							
88.55			FUMELH, madame de												Miss Anysie ou le triomphe des mœurs et des vertus, par Mme- de Fumelh		Bruxelles & Paris			H. Dujardin, Defer de Maisonneuve			1788	1788				in-12			viii + 177p.		A BN+ JL xlvi 1788 Delcro Q							1re personne			Angleterre			sir Hermeng, sir Edmon, miss Anysie, sir Wosthy			malheurs, intrigue sentimentale			sensibilité passionnée, réflexions mélancoliques				
88.56			GACON-DUFOUR, Marie-Armande-Jeanne d’Humières, madame												Les dangers de la coquetterie		Paris			Buisson			1788	1788				2 part, in-12			167, 164p.		A BN+ JP 19.v, 13.xii.88 B Gay Michaud Q		B, Gay, Michaud et Q indiquent une édition de 1787: Paris, Buisson, 2t. in-12, que nous n’avons pu retrouver. C’est peut-être une erreur pour l’édition de 1788 que nous décrivons ci-dessus.					Lettres			Paris, province			la baronne de Cotyoto, la marquise d Hersilie, la vicomtesse de Thor, le chevalier de Zéthur			aventures galantes et mondaines			prétentions moralisatrices, sensibilité				
88.57			GAUDE												Opuscules en vers et en prose		Londres						1788	1788				in-18					JP 22.viii.88 Gay		Selon JP, cet ouvrage comprend des vers et un conte en prose: Valmire.																					
88.57bis	t		GODWIN, William										?		L’amitié trompée ou lettres du comte de Saint-Julien, tra duit (sic) de l’anglois sur la seconde édition								1788	[non déclaré]									BM+ JP 27.xi.88 Rochedieu Streeter		Selon Rochedieu et Streeter, l’original anglais serait un roman anonyme: Misplaced confidence or Friendship Betrayed, 1788. Nous n’avons pu retrouver cet ouvrage.			Trad. de Italian Letters or the History of the Count de St. Julien, 1784.		Lettres			Palerme, Naples, Alicanti...			le marquis de Pescaire, le marquis de Saint-Severin, Seigneur Hippolyte Borelli, Mathilde Colonne			intrigues sentimentales			ton sensible et moralisateur				
88.58	t		GOLDSMITH, Oliver						LARIVAL						Essai des essais de Goldsmith ou recueil de contes et d’anecdotes		Paris			imprimerie de Monsieur			1788	1788				in-18			xxviii + 204p.		MHt B Q Rochedieu		Voir à propos de cet ouvrage C.P. Barbier, ‘Goldsmith en France au XVIIle siècle: les Essays et le Vicar of Wakefleld’, Revue de littérature comparée, XXV (1951), pp. 385-402. Barbier, citant Michaud, Desessarts et Quérard, indique une autre traduction des Essays par Castéra, mais qu’il n’a pas vue.			Trad. de Essays, 1765.																Les deux derniers morceaux auraient été composés par le traducteur. Pp. 1-12, Alcandre et Septimo; 13-35, Le misanthrope scythe; 36-52, La jambe de bois; 53-67, L’amitié et la pitié; 68-80, Les mariages modernes; 81-120, Le monastère taverne; 121-131. Les insoucians; 132-137, Anecdote russe; 139-164, Makandal, histoire véritable; 165-204, Les aventures de Friscotin.		
88.59			GORJY, Jean-Claude												Blançay, par l’auteur du Nouveau voyage sentimental		Londres & Paris			Guillot			1788	1788				2t. in-18			4 + 204, 207p.		BM+ AL VIII 1788 224-238; JL xxxi 1788; JP 25.lx.88 B Delcro Q		BUR 1788 janv. II, pp. 80-167, en donne un résumé.					1re personne			Paris, province			Blançay, Bertrand, la mère Simplet, Julie d’Arleville			intrigues sentimentales et romanesques			sensibilité effrénée				
88.6															Les écueils de l’amitié, anecdote espagnole		ln-18						1788	[non déclaré]							48p.		Nantest		Le frontispice gravé porte: Caron f. 1788. La dédicace est signée L.C.D.L. Histoire d’un vertueux conflit entre l’amour et l’amitié.																					
88.60	c_MH		GOUGES, Marie Gouze, dite Olympe de												Œuvres de madame de Gouges, dédiées à monseigneur le duc d’Orléans, premier prince du sang, lieutenant-général des armées du Roi & des armées navales de sa Majesté, chevalier de ses ordres, gouverneur & lieutenant-général de la province du Dauphiné, colonel-général des hussards		Paris			chez l’auteur, Cailleau			1788	1788				3t. in-8.			viii -t- 111 + 179 + 10, xi + 140+ 160, 23 + 99 + 15+ 211 + 58p.		BN+ JL ix 1788; JP 3.iv.88 Gay Q		E. Forestié, ‘Olympe de Gouges’, Recueil de l’Académie des sciences, belles-lettres et arts de Tarn-et-Garonne, 2e série, XVI, 1900, p.73, croit que le Mémoire de madame de Valmont, dont le permis d’imprimer date de 1786, aurait pu paraître avant la publication des Œuvres, sous le titre de Roman de madame de Valmont. Cette collection comprend des pièces de théâtre etc., que nous n’indiquons pas dans notre description.																			II (dernière partie), 1-138, Mémoire de madame de Valmont sur l’ingratitude & la cruauté de la famille des Flaucourt envers la sienne, dont les sieurs de Flaucourt ont reçu tant de services: série de lettres racontant des intrigues mondaines et des querelles de famille. III (dernière partie), 1-58, Bienfaisance ou la bonne mère, conte mêlé d’anecdotes		
88.61	t		GRIFFITH, Mrs Elizabeth										?		Délia ou histoire d’une jeune héritière, traduite de l’anglois par madame de ***		Londres & Paris			Letellier			1788	1788				3 part, in-12			240, 258, 255p.		A+ (t. LUI) BN+ JP 18.L88		Le titre de départ porte: Histoire de lady Barton.	Une autre version de cet ouvrage a paru la même année, avec le titre: Histoire de lady Barton. V. 88.62 pour d’autres détails.		Trad. de History of Lady Barton, 1771.																		
88.62	nt		GRIFFITH, Mrs Elizabeth										?		Histoire de lady Barton, par Mme. Griffith, traduite de l’anglois		Lausanne & Paris			Jean Mourer, chez les principaux libraires			1788	1788				2t. in-12			iv+ 283, 298p.		BN+ Q Rochedieu Streeter		Une autre version de cet ouvrage a paru la même année, avec le titre: Délia ou histoire d’une jeune héritière (v. 88.61 ).			Trad. de History of Lady Barton, 1771.		Lettres, avec récit intercalé 1re personne			Angleterre, Irlande			lady Louise Barton, miss Cleveland, le colonel Walter, miss Westley			voyages, aventures, intrigues mondaines							
88.63			HARTIG, Franz, Graf von												Mélange de vers et de prose, par le comte François d’Hartig, membre de l’Académie royale des sciences & belles-lettres de Marseille, du Musée de Paris, de l’Académie des sciences de Prague & de la Société d’émulation de Liège		Paris & Liège			libraires associés, F.J. Desoer			1788	1788				in-8			290p.		BN+ B																					Pp. 155-166, La providence, histoire orientale; 167-178, Hassan et l’ermite, conte arabe imité & augmenté d’après une traduction angloise; 179-181, Zoroastre et le jeune homme, conte persan; 182-238, La belle Richilde, conte imité de l’allemand; avec des poèmes, des lettres, des réflexions.		
88.64	t		HAWKE, lady Cassandra										?		Julie de Grammont, traduit de l’anglois sur la seconde édition		Londres & Paris			Briand			1788	1788				2 part, in-12			237, 303p.		A+ BN+ Rochedieu					Trad. de Julia de Grammont, 1788.		3e personne, avec un long récit intercalé 1re personne			province			le duc de Grammont, Henriette, Julie, M. de Senanges, madame de Tourville			histoires de famille et de mariages			sensibilité				
88.65	t		HAYLEY, William						SIBILLE						Essai satirique et amusant sur les vieilles filles, traduit de l’anglois par M. Sibille		Paris			Le Tellier			1788	1788				2 part, in-12			xi + 172, 224p.		A+ Rochedieu					Trad. de Philosophical, Historical and Moral Essay on Old Maids, 1785.											Dissertation facétieuse sur les défauts de caractère des femmes célibataires, où chaque chapitre est illustré par une petite anecdote							
88.66	t		HELME, Elizabeth						DUBOIS-FONTANELLE, Joseph-Gaspard						Clara et Emmeline, par miss H......auteur de Louise ou la chaumière, traduit de l’anglois		Londres & Paris			Buisson			1788	1788				2t. in-12			166, 194p.		A BN+ JP 29.ii, 20.V.88 Rochedieu		Une autre version de cet ouvrage a été publiée la même année, avec le titre: Clare et Emmeline (v. 88.67).			Trad. de Clara and Emmeline or the Maternai Bénédiction, 1787.		Lettres			Angleterre			mistriss Clara Welford, lady Anne Delany, miss Emmeline Gower, le capitaine Buckley			intrigues sentimentales, malheurs			sensibilité				
88.67	nt		HELME, Elizabeth						SOULÉS, François						Clare et Emmeline ou la bénédiction maternelle nouvelle par l’auteur de Louise ou de la chaumière & traduite de l’anglais par M. Soulès		Londres & Paris			Kearsley, Lagrange			1788	1788				2t. in-12			viii + 167, 183p.		A BN+ JP 5.ii.88 Rochedieu Streeter		Une autre version de cet ouvrage a été publiée la même année, avec le titre: Clara et Emmeline. V. 88.66 pour d’autres détails.			Trad. de Clara and Emmeline or the Maternai Bénédiction, 1787.																		
88.68	t		HERIOT, John										?		L’officier réformé, traduit de l’anglois de M. Pratt, auteur de VElève du plaisir		Londres & Paris			Briand			1788	1788				2t. in-12			viii + 175, 147p.		A BN+ (sous ‘Pratt’) JL xiv 1788 Delcro Rochedieu Streeter		Rochedieu et Streeter acceptent l’attribution à Pratt qui paraît dans le titre, mais cette attribution est erronée. L’ouvrage anglais, The Half-Pay Offlcer, a été publié sans nom d’auteur. C’est peut-être parce que ce roman traite de la Guerre de l’Indépendance américaine, et que Pratt avait publié un roman où il est question du même sujet, Emma Corbett, qu’on a attribué L’officier réformé à Pratt. En effet, selon Rochedieu, L’officier réformé serait une version d’Emma Corbet. dont deux versions françaises ont paru en 1783 et 1789 respectivement (v.83.46 et 89. 93) Streeter, sans pouvoir identifier l’original anglais de L’officier réformé, indique pourtant sous ‘Heriot’ une autre traduction, par F.-G. de Lussy, L’officiera la demi-paie (1803), et fait remarquer que le catalogue de la BN attribue l’ouvrage, par erreur, à Pratt.			Trad. de The Half-Pay Officer or Memoirs of Charles Chan-celey, 1788.		1re personne (mémoires)			Angleterre, Amérique			M. Chancelley, Anna, mistriss Walby, Alicie (milieux militaires)			aventures, voyages, intrigue sentimentale			sensibilité, prétentions moralisatrices				
88.69	t		HERVEY, Elizabeth										?		Mélise et Marcia ou les deux sœurs, traduit de l’anglois		Londres & Paris			Maradan			1788	1788				2t. in-12			314, 354p.		A BN+					Trad. de Melissa and Marcia or the Sisters, a Novel, 1788.		3e personne, avec récits intercalés 1re personne			Angleterre			le juge Humble, Mlle Caqueteuse, Marcia, Mélise, milord Westland			intrigue mondaine, aventures romanesques et comiques			ton satirique				
88.7	t														Edouard et Sophie, roman traduit de l’anglois		Londres & Paris			De Senne, libraire de Monseigneur Comte d’Artois, au Palais royal, De Senne, libraire au Luxembourg, Maradan, libraire, rue des Noyers, nT33			1788	1788				2t. in-12			246, 256p.		BN+ Rochedieu Streeter					Trad. de Edward and Sophia, a Novel by a Lady, 1787.		3e personne			Angleterre			Charles Addington, John Addington, Edouard Hartly, Sophie Wilson			amours contrariées, intrigue mondaine							
